brand,model,year,age,kmdriven,fueltype,transmission,owner,price
honda,city,2001,25,98000,petrol,manual,second,195000
toyota,innova,2009,17,190000,diesel,manual,second,375000
volkswagen,ventotest,2010,16,77246,diesel,manual,first,184999
maruti suzuki,swift,2017,9,83500,diesel,manual,second,565000
maruti suzuki,baleno,2019,7,45000,petrol,automatic,first,685000
bmw,x3,2014,12,83000,diesel,automatic,first,1350000
toyota,innova,2014,12,168000,diesel,manual,second,1025000
bmw,5 series,2019,7,25000,diesel,automatic,second,5950000
maruti suzuki,swift dzire,2020,6,33759,petrol,manual,second,622000
ford,ecosport,2017,9,69713,petrol,manual,second,649000
maruti suzuki,alto k10,2018,8,70000,petrol,automatic,first,395000
kia,carnival,2021,5,25000,diesel,automatic,first,2900000
maruti suzuki,swift dzire,2012,14,72700,petrol,manual,second,240000
toyota,corolla,2007,19,121931,petrol,automatic,second,201350
mercedes-benz,gle coupe,2021,5,32000,petrol,automatic,second,11800000
hyundai,xcent,2018,8,130000,diesel,manual,second,330000
kia,seltos,2020,6,68000,diesel,manual,first,1045000
maruti suzuki,ertiga,2016,10,65000,diesel,manual,second,785000
maruti suzuki,ertiga,2017,9,59000,petrol,automatic,second,555000
bmw,3 series gt,2015,11,61000,diesel,automatic,second,1500000
ford,endeavour,2019,7,77000,diesel,automatic,second,2399000
toyota,innova crysta,2017,9,107000,diesel,automatic,first,1325000
honda,city,2010,16,99000,petrol,manual,first,295000
audi,a3,2015,11,42000,diesel,automatic,second,1050000
renault,kwid,2019,7,48073,petrol,automatic,second,355000
mg,hector,2019,7,32618,petrol,automatic,first,1250000
maruti suzuki,swift dzire,2012,14,70000,diesel,manual,second,315000
maruti suzuki,celerio,2014,12,51000,petrol,automatic,second,345000
maruti suzuki,brezza,2018,8,137000,diesel,manual,first,845000
toyota,2.8 legender 4x2,2023,3,1996,diesel,automatic,first,4195000
toyota,innova crysta,2017,9,90000,diesel,manual,second,1950000
toyota,innova,2011,15,84000,diesel,manual,second,490000
volvo,s90,2018,8,53000,diesel,automatic,first,2950000
hyundai,venue,2021,5,17000,petrol,manual,first,685000
maruti suzuki,ertiga,2018,8,70000,petrol,manual,second,749000
hyundai,creta,2023,3,5000,petrol,automatic,first,1600000
hyundai,alcazar,2022,4,47110,diesel,manual,second,1695000
hyundai,i20,2019,7,35000,petrol,manual,first,585000
mercedes-benz,e class,2019,7,101570,diesel,automatic,first,4200000
volkswagen,polo,2021,5,42000,petrol,manual,second,675000
maruti suzuki,baleno,2018,8,30000,petrol,manual,second,630000
hyundai,verna,2016,10,82100,diesel,manual,second,465000
audi,a4,2012,14,90000,diesel,automatic,second,899000
toyota,fortuner,2011,15,193000,diesel,manual,second,1125000
mercedes-benz,c class,2015,11,65000,diesel,automatic,first,1750000
hyundai,creta,2022,4,30000,petrol,automatic,second,1690000
maruti suzuki,swift dzire,2020,6,94856,petrol,manual,first,690000
skoda,kushaq,2023,3,12000,petrol,automatic,first,1800000
maruti suzuki,ciaz,2018,8,0,petrol,manual,first,500000
tata,safari,2010,16,500000,diesel,manual,first,800000
toyota,innova crysta,2018,8,118000,diesel,automatic,first,1795000
mercedes-benz,c class,2016,10,41000,petrol,automatic,second,2000000
honda,city,2010,16,79000,petrol,manual,second,290000
honda,brv,2016,10,103001,diesel,manual,second,555555
hyundai,creta,2017,9,70000,petrol,manual,second,765000
renault,duster,2018,8,130000,diesel,manual,first,690000
maruti suzuki,wagon r,2011,15,78000,petrol,manual,second,225000
toyota,fortuner,2017,9,115000,diesel,automatic,second,2390000
mahindra,bolero power plus,2017,9,160000,diesel,manual,second,550000
hyundai,eon,2017,9,27000,petrol,manual,second,300000
mg,hector plus,2020,6,81600,petrol,automatic,first,1021000
hyundai,creta,2017,9,54000,petrol,automatic,first,811000
mahindra,xuv500,2018,8,76000,diesel,manual,first,1125000
mercedes-benz,gls,2014,12,86000,diesel,automatic,first,3000000
hyundai,i10,2011,15,65000,petrol,manual,second,115000
mercedes-benz,gla,2018,8,60000,diesel,automatic,second,1450000
kia,carens,2023,3,24000,petrol,manual,first,1225000
toyota,innova,2011,15,100231,diesel,manual,second,429101
maruti suzuki,ignis,2023,3,13000,petrol,manual,second,610000
hyundai,grand i10,2017,9,47000,petrol,manual,first,519999
hyundai,getz prime,2007,19,115031,petrol,manual,second,140000
maruti suzuki,swift,2014,12,67000,petrol,manual,first,280000
hyundai,xcent,2016,10,74500,diesel,manual,first,425000
honda,city,2016,10,93000,petrol,automatic,second,575000
maruti suzuki,ritz,2015,11,59000,petrol,manual,first,295000
toyota,innova crysta,2017,9,79000,diesel,automatic,second,1725000
hyundai,verna,2022,4,69000,diesel,automatic,first,1250000
hyundai,creta,2015,11,76000,diesel,automatic,second,650000
kia,sonet,2020,6,34500,petrol,automatic,first,935000
ford,ecosport,2016,10,130000,diesel,manual,second,400000
mercedes-benz,glc coupe,2022,4,20000,diesel,automatic,first,7500000
mahindra,scorpio,2023,3,15905,diesel,automatic,first,2350000
toyota,innova crysta,2021,5,21000,diesel,manual,first,2125000
mini,cooper 3 door,2019,7,13000,petrol,automatic,first,3950000
maruti suzuki,ertiga,2015,11,75000,diesel,manual,first,435000
volkswagen,polo,2012,14,80000,diesel,manual,second,300000
maruti suzuki,wagon r,2016,10,50000,petrol,manual,first,245000
tata,nexon,2022,4,40000,petrol,automatic,second,680000
maruti suzuki,ritz,2013,13,87000,diesel,manual,first,385000
toyota,etios,2015,11,155000,diesel,manual,second,589000
volkswagen,crosspolo,2014,12,80000,diesel,manual,second,425000
maruti suzuki,wagon r,2014,12,84000,petrol,manual,second,265000
volkswagen,polo,2021,5,18000,petrol,automatic,first,850000
maruti suzuki,baleno,2017,9,47000,petrol,automatic,first,575000
volkswagen,vento,2011,15,134000,diesel,manual,first,425000
maruti suzuki,alto k10,2011,15,82000,petrol,manual,first,180000
maruti suzuki,celerio,2015,11,35000,petrol,automatic,first,425000
renault,duster,2015,11,150000,diesel,automatic,second,450000
toyota,fortuner,2012,14,132000,diesel,manual,first,1095000
land rover,range rover evoque,2017,9,130000,petrol,automatic,second,2500000
maruti suzuki,ertiga,2020,6,59000,petrol,automatic,first,980000
tata,nexon,2018,8,95000,petrol,automatic,second,575000
tata,indigo ecs,2016,10,115000,diesel,manual,second,110000
mahindra,thar,2022,4,11000,diesel,manual,first,1675000
toyota,camry,2015,11,68000,petrol,automatic,second,1185000
skoda,kushaq,2021,5,74000,petrol,automatic,first,1199000
maruti suzuki,ritz,2012,14,88000,petrol,manual,first,385000
hyundai,grand i10,2014,12,47000,petrol,automatic,second,455000
mahindra,bolero,2015,11,16,diesel,manual,first,390000
honda,brio,2012,14,68000,petrol,manual,first,235000
honda,city zx,2007,19,115000,petrol,manual,second,265000
hyundai,i10,2011,15,50000,petrol,manual,second,150000
honda,wrv,2017,9,98000,diesel,manual,first,600000
land rover,discovery sport,2019,7,62000,diesel,automatic,first,3099000
tata,harrier,2019,7,67000,diesel,manual,second,899000
tata,zest,2015,11,69000,petrol,manual,second,340000
maruti suzuki,eeco,2021,5,49000,petrol,manual,first,540000
maruti suzuki,swift dzire,2013,13,162000,diesel,manual,second,390000
toyota,fortuner,2018,8,86000,diesel,manual,first,2499000
hyundai,creta,2023,3,35000,diesel,automatic,first,2025000
maruti suzuki,wagon r,2014,12,38000,petrol,manual,first,370000
hyundai,creta,2020,6,105000,diesel,manual,first,1050000
toyota,2.8 legender 4x2,2022,4,25500,diesel,automatic,first,4199999
maruti suzuki,swift dzire,2015,11,67000,petrol,manual,first,450000
volkswagen,ventotest,2016,10,78000,petrol,automatic,first,555000
toyota,innova,2006,20,191000,diesel,manual,first,295000
hyundai,creta,2018,8,66000,petrol,automatic,second,1075000
toyota,innova crysta,2016,10,75000,diesel,manual,first,1480000
maruti suzuki,brezza,2018,8,85600,diesel,manual,first,750000
maruti suzuki,ertiga,2012,14,155000,diesel,manual,second,650000
hyundai,i10,2010,16,46000,petrol,manual,second,78000
maruti suzuki,ciaz,2015,11,68000,petrol,manual,first,330000
ford,ecosport,2018,8,73000,petrol,automatic,first,590000
honda,city,2011,15,74000,petrol,automatic,second,375000
maruti suzuki,swift,2018,8,65000,petrol,automatic,second,590000
audi,a4,2021,5,50000,petrol,automatic,first,3250000
